Song Name,Singer Name,Song Audio,Type,Improved_Type,Mood_Tag,Final_Type
Burjkhalifa, Nikhita Gandhi | Shashi-Dj Khushi,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/d6280e93-026a-4071-9005-97c076c869e7.mp3,Other,Other,Neutral,Other
Sawaar Loon,Monali Thakur,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/edd89a63-8242-49b5-b6bf-7224b95f5775.mp3,Other,Other,Neutral,Other
Aankh Marey,Tanishk Bagchi | Mika Singh | Neha |Kumar S,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/7407e214-d7ed-4667-aa72-de250361a7a0.mp3,Other,Other,Neutral,Other
Sajna,Badshah,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/3b456173-1645-484d-90da-8fd0763ecdf2.mp3,Other,Other,Neutral,Other
Dance Ka Bhoot,Arijit Singh,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/10d00e8c-b7b7-4934-87f9-ed2b135b863d.mp3,Party,Party,Energetic,Party
Taito Ailam Sagore,Tasrif Khan | Saint Martin,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/05fa4258-9549-4eb6-a384-45f764c52550.mp3,Other,Other,Neutral,Other
Ek Dil Ek Jaan,Shivam Pathak,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/0bf13a6d-d304-4815-8bd5-4247966ac695.mp3,Sad,Sad,Romantic,Sad
Piyu Bole,Sonu Nigam & Shreya Ghoshal,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/273be381-a87e-4388-a864-5f39924a498d.mp3,Other,Other,Neutral,Other
RANGABATI,SUROJIT | IMAN,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/75fd9460-d135-4bc8-8733-23d09af561cf.mp3,Other,Happy,Upbeat,Happy
Morni Banke,Tanishk Bagchi | Neha Kakkar,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/c5dab796-2f47-4e1f-b1c9-3dcb0b592e27.mp3,Other,Other,Neutral,Other
Mitwa,Shafqat Amanat Ali,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/21f4bf7e-d104-4da5-9832-53770a019452.mp3,Other,Other,Neutral,Other
Tum Se,Sachin-Jigar | Raghav Chaitanya | Varun Jain | Indraneel,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/6e049192-fdf2-4dba-9e3d-bb5b7429ef15.mp3,Sad,Sad,Sad,Sad
Kotha Koiyo Na,Shiblu Mredha X Aleya Begum X Emon Chowdhury,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/70df82ca-3cd5-4f2b-a946-5df948a887ef.mp3,Other,Other,Neutral,Other
Dekhechhi Rupshagore, Mahtim Shakib | Arindom,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/2087f724-3cef-4435-82b1-0f92e65cf6fb.mp3,Other,Other,Neutral,Other
Dil Galti Kar Baitha Hai,Jubin Nautiyal,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/4b1ccee9-a38a-4d03-adf2-dba3db1a170b.mp3,Sad,Sad,Romantic,Sad
Neel Digante,Shreya Ghoshal | Gotro | Anindya,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/5f1636c0-d1c0-4037-b19a-0d87bd5a2997.mp3,Other,Other,Neutral,Other
Jabo Na Jabo Na Phire | Reprise Version,Arijit Singh,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/5802e690-ed1b-4dc8-bb26-8cbd0927f41b.mp3,Other,Other,Neutral,Other
Tum Kya Mile,Arijit Singh | Shreya,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/384da326-1997-4345-85f9-050ff1e51ad5.mp3,Sad,Sad,Sad,Sad
Shonaro Palongker Ghore,Krishnokoli,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/d2715d5e-3c22-4af5-b18f-33640cee57f9.mp3,Other,Sad,Sad,Sad
Haan Ke Haan,Monali Thakur,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/315519e5-7c18-4a74-b0d2-ea5219d22047.mp3,Other,Other,Neutral,Other
MONTA RE LOOTERA,SWANAND KIRKIRE | AMITABH BHATTACHARYA,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/e082c8bd-816d-4888-931f-7615acb1b314.mp3,Other,Other,Neutral,Other
Chal Rastay Saaji Tram Line,Shreya Ghoshal,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/b885a374-07da-43be-8b73-fbab7f59f4de.mp3,Other,Other,Neutral,Other
Amar Bhitoro Bahire,Rishi Panda,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/d4076357-e083-42ae-972c-4ab3415cd4e3.mp3,Other,Sad,Sad,Sad
Tomay Hrid Majhare Rakhbo (Remake),Anirban Sur,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/453ca79a-786b-473e-993d-c3a5494f41dd.mp3,Other,Other,Neutral,Other
Asatoma Sadgamaya,Kaushik Ganguly | Arijit Singh,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/e2d9afcf-43d5-4c6c-8572-f100d1d90c73.mp3,Sad,Sad,Melancholic,Sad
Jogni,Hariom G.,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/d7399662-4cd6-40ce-b74f-906bca3265ba.mp3,Other,Other,Neutral,Other
Firecracker,Vishal | Sheykhar,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/98f02c70-c391-4f64-b919-4303034b6ee1.mp3,Other,Other,Neutral,Other
Kalo Jole Kuchla Tole,Iman Chakraborty,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/e5b43a42-7eea-409a-ba76-e59e8e0c5cfa.mp3,Other,Other,Neutral,Other
Majhe Majhe Tobo,Prashmita Paul,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/c182c9c7-66c0-42b4-b25e-c7789992810d.mp3,Other,Other,Neutral,Other
EI MAYABI CHANDER RAATE,Chamok Hasan,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/8a8094b1-5454-4fcf-9a22-a96189c1b0d0.mp3,Other,Other,Neutral,Other
Kotobaro Bhebechinu,Mekhla Dasgupta,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/f25d8f5a-8c79-4cc8-b5f1-eb13f3cdd229.mp3,Other,Sad,Sad,Sad
Rimjhim E Dhara Te,Shaan,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/ad942969-f699-46d4-a4eb-f3543ce5e820.mp3,Other,Other,Neutral,Other
Tomar Pichu Charbo Na,Nahid Hasan,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/3ec4b357-6fd1-42c9-ac57-cb640e74e148.mp3,Other,Other,Neutral,Other
Sokhi Tora Prem Koriyo Na,Aditi Chakraborty,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/9fe7e7e3-bbfc-49f5-b599-734772f5a95c.mp3,Other,Other,Neutral,Other
Jhumka,Xefer  | Muza,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/d0be79ea-2282-4109-a514-02eb820c691e.mp3,Other,Other,Neutral,Other
SATRANGA,ARIJIT SINGH ,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/98f5ba5e-65d4-4065-87eb-d95181b42d15.mp3,Other,Happy,Upbeat,Happy
Shada Shada Kala Kala,Chanchal Chowdhury,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/811397cd-0b81-4ad6-b90c-ca43266c2a79.mp3,Other,Other,Neutral,Other
Mon Bojhe Naa,Arijit Singh,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/e64419fb-0054-44f9-b212-02e4252aa238.mp3,Other,Other,Neutral,Other
PEHLE BHI MAIN,Vishal M | Raj S,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/b6ac25a8-47ce-452e-9712-a8699bf0b9cb.mp3,Other,Other,Neutral,Other
Tapur Tupur,Arnab Dutta,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/c1dcc820-4dae-478d-8c44-6575b6037a4a.mp3,Other,Other,Neutral,Other
