Sno, songs,singer,lyrics,genri,album
105,Qaafirana,Arijit Singh & Nikhita| Amit T,"Inn waadiyon mein takra chuke hai
Humse musafir yun toh kayi
Dil na lagaya humne kisi se
Qisse sune hai yun toh kayi

Aise tum mile ho
Aise tum mile ho
Jaise mil rahi ho itr se hawa
Qaafirana sa hai
Ishq hai ya kya hai

Aise tum mile ho
Aise tum mile ho
Jaise mil rahi ho itr se hawa
Qaafirana sa hai
Ishq hai ya kya hai

Khamoshiyon mein boli tumhari
Kuchh iss tarah goonjti hai
Kaano se mere hote huye wo
Dil ka pata dhoondhti hai
Beswadiyon mein, beswadiyon mein
Jaise mil raha ho koi zayka

Qaafirana sa hai
Ishq hai ya kya hai

Aise tum mile ho
Aise tum mile ho
Jaise mil rahi ho itr se hawa
Qaafirana sa hai
Ishq hai ya kya hai…

La la la…
Aah ha aah ha…

Godhi mein pahadiyon ki
Ujli dopahri guzarna
Haaye haaye tere saath mein, acha lage
Sharmeeli akhiyon se tera
Meri nazrein utaarna
Haaye haaye har baat pe, acha lage

Dhalti huyi shaam ne bataya hai
Ki door manzil pe raat hai
Mujhko tasalli hai yeh
Ki hone talak raat hum dono saath hai

Sang chal rahe hai
Sang chal rahe hai
Dhoop ke kinaare chhaaon ki tarah
Qaafirana sa hai
Ishq hai ya kya hai

Hmm… aise tum mile ho
Aise tum mile ho
Jaise mil rahi ho itr se hawa
Qaafirana sa hai
Ishq hai ya kya hai…",,
106,Mera Bhola Hai Bhandari,Hansraj Raghuwanshi,"baaba jee jay shankar jay shankar baabe mausam bada sohana hai aaj chal gumane chalie haanjee 22 jee ghar ka baahar hu niche aaja oke oke oke jay shiv om namah shivaay chalie phir sabana da rakhavaala o shivajee damaroovaala jee damaroo vaala upar kailaash rahanda bhole naath jee... shambhu... dharmiyo jo taarade shivajee paapiya jo maarada paapiya jo maarada ... bada hee dayaal mera bhole amalee... om namah shivaay shambhu om namah shivaay om namah shivaay shambhu om namah shivaay mahaadev tera damaroo dam dam, dam dam bajato jay re... ho mahaadeva... om namah shivaay shambhu om namah shivaay sar se teree behatee ganga kaam mera ho jaata changa naam tera jab leta ta ta mahaadeva... shambhoo... jay shankar maan piya de ghare o gora mahala ch rahandee jee mahala ch rehandee vich samsaana raahanda bhole naath jee maan piya de ghare o gora mahala ch rahandee jee mahala ch rehandee vich samsaana raahanda bhole naath jee kaaleya kundala vaala mera bhole baaba kidhar kailaash tera dera o jee... sar pe tere vo ganga maiy viraaje ... mukut pe chanda maama o jee om namah shivaay om namah shivaay shambhu om namah shivaay bhang je pindha he shivajee toone ramaanda toone ramaanda bada hee tapaaree o mera bhole amalee bhang je pindha he shivajee toone ramaanda toone ramaanda bada hee tapaaree o mera bhole amalee tera bhola hai bhandaaree karata nandee kee savaaree bhole naath re shankar naath re oh mera bhola hai bhandaaree kare nandee kee savaaree shambhoo naath re ho shankar naath re ho gora bhang ragar ke bolee tere saath hai bhooto kee tolee mere naath re, ho shambhoo naath re ho bhole baaba jee, dar tere main aaya jee jholee khaalee laaya jee, khaalee jholee bhar do jee kaale aa sarapa vaala mera bhole baaba shikhar kailaasha vich rehanda oh jee bhole bhole bhole bhole bhole bhole narna re narna naare narna re na na.. om namah shivaaya",,
107,Mere Baba,Jubin Nautiyal,"Koi Kahe Tu Kashi Mein Hain, Koi Kahe Kailash, Jab Jab Tujhe Pukara Baba, Tu Tha Mere Pas, Tere Bal Se Main Balwan, Baba Tu Mera Bhagwan, Tere Charno Mein Hi Rehna, Jab Tak Mere Tan Mein Pran, Mere Baba Mere Baba, Mere Baba Bhole Baba, Meri Chinta Mein Yun Jage, Phir Na Soye Tere Naina, Mujhse Pehle Mere Dukh Mein, Baba Roye Tere Naina, Gaun Kya Tera Gungan, Baba Tu Meri Muskan, Tere Charno Mein Hi Rehna, Jab Tak Mere Tan Me Pran, Mere Baba Mere Baba, Mere Baba Bhole Baba, Jab Tak Sar Pe Tera Ha..",,
108,Tum Prem Ho (Reprise),Mohit Lalwani · Bharat Kamal · Bharat Kamal · Shekhar Astitwa · Bharat Kamal,"Tum Prem Ho,
Tum Preet Ho,
Meri Bansuri Ka Geet Ho…
Tum Prem Ho,
Tum Preet Ho,
Manmeet Ho Raadhe,
Meri Manmeet Ho..
Tum Prem Ho,
Tum Preet Ho,
Manmeet Ho Raadhe,
Meri Manmeet Ho..
Tum Prem Ho,
Tum Preet Ho,
Meri Bansuri Ka Geet Ho…

Parmatma Ka Sparsh Ho.., Raadhe…
Parmatma Ka Sparsh Ho,
Pulkit Hridaya Ka Harsh Ho,
Parmatma Ka Sparsh Ho,
Pulkit Hridaya Ka Harsh Ho,
Tum Ho Samarpan Ka Shikhar,
Tum Ho Samarpan Ka Shikhar,
Tum Hi Mera Utkarsh Ho…
Tum Prem Ho,
Tum Preet Ho,
Meri Bhavna Ki Tum Raadhe Jeet Ho…
Tum Prem Ho,
Tum Preet Ho,
Meri Bansuri Ka Geet Ho…

Hoon Main Jahaan,Tum Ho Wahaa..
Radhe..
Hoon Main Jahaan,Tum Ho Wahaa,
Tum Bin Nahi Hai Kuch Yahaa,
Hoon Main Jahaan,Tum Ho Wahaa,
Tum Bin Nahi Hai Kuch Yahaa,
Mujh Mein Dhadkti Ho Tumhi,
Mujh Mein Dhadkti Ho Tumhi,
Tum Durr Mujhse Ho Kahaa…
Tum Prem Ho,
Tum Preet Ho,
Manmeet Ho Raadhe,
Meri Manmeet Ho..
Tum Prem Ho,
Tum Preet Ho,
Meri Bansuri Ka Geet Ho…
Natnaagar, Mohan Giridhaari
Natnaagar, Mohan Giridhaari
Radha Rani, Baat Take Tihaari
Radha Rani, Baat Take Tihaari
Radha Krishna
Radha Krishna
Radha Krishna
Radha Krishna
Radha Krishna
Radha Krishna
Radha krishna
",,
109,Mere Nishaan,"Kailash Kher, Meet Bros Anjjan","main to nahin hoon insaanon mein bikata hoon main to in dukaanon mein main to nahin hoon insaanon mein bikata hoon main to in dukaanon mein duniya banaee mainne haathon se mittee se nahin, jazbaaton se phir raha hoon dhoondhata mere nishaan hai kahaan? mere nishaan hai kahaan? mere nishaan... ho-ho-ho, mere nishaan (mere nishaan) ho-ho-ho, mere nishaan (mere nishaan) tera hee saaya banake tere saath chala main jab dhoop aaee tere sar pe to chhaanv bana main tera hee saaya banake tere saath chala main jab dhoop aaee tere sar pe to chhaanv bana main raahon mein teree raha main hamasafar kee tarah ulajha hai phir bhee too ujaalon mein dhoondhe savaalon ko javaabon mein khoya hua hai too kahaan? (too kahaan) mere nishaan hai kahaan? mere nishaan hai kahaan? mere nishaan... ho-ho-ho, mere nishaan (mere nishaan) ho-ho-ho, mere nishaan (mere nishaan) mujhase bane hain ye panchhee, ye bahata paanee leke zameen se aasamaan tak meree hee kahaanee mujhase bane hain ye panchhee, ye bahata paanee leke zameen se aasamaan tak meree hee kahaanee too bhee hai mujhase bana, baante mujhe kyoon yahaan? meree banaee taqadeeren hain (taqadeeren hain) saanson bharee ye tasveeren hai phir bhee hain kyoon bezubaan? (bezubaan) mere nishaan hai kahaan? (mere nishaan hai kahaan?) mere nishaan hai kahaan? (mere nishaan...) mere nishaan... ho-ho-ho, mere nishaan (mere nishaan) ho-ho-ho, mere nishaan (mere nishaan)",,
110,Parvati Boli Shankar Se,Hansraj Raghuwanshi,"paarvatee bolee shankar se paarvatee bolee shankar se paarvatee bolee shankar se suniye bholenaath jee rahana hai har ik janm mein mujhe tumhaare saath jee vachan dijiye na chhodenge kabhee hamaara haath jee o bholenaath jee o shambhoo naath jee o bholenaath jee o shankaranaath jee o bholenaath jee o shambhoo naath jee o bholenaath jee o shankaranaath jee jaise mastak pe chanda hai ganga basee jataon mein vaise rakhana he abhinaashee mujhe prem kee chhaanv mein jaise mastak pe chanda hai ganga basee jataon mein vaise rakhana he abhinaashee mujhe prem kee chhaanv mein koee nahin tumasa teenon loko mein dason dishao mein mahalon se jyaada sukh hai kailaash kee khulee havao mein tum ho jahaan vahaan hotee hai tum ho jahaan vahaan hotee hai amrt kee barasaat jee rahana hai har ik janm mein mujhe tumhaare saath jee vachan dijiye na chhodenge kabhee hamaara haath jee o bholenaath jee o shambhoo naath jee o bholenaath jee o shankaranaath jee o bholenaath jee o shambhoo naath jee o bholenaath jee o shankaranaath jee dev ho tum devon ke bhole amar ho antarayaamee ho bhaagyavaan hai ham tripuraaree aap hamaare svaamee ho dev ho tum devon ke bhole amar ho antarayaamee ho bhaagyavaan hai ham tripuraaree aap hamaare svaamee ho pushp vimaano se pyaaree hamako nandee kee savaaree jee yugo yugo se paarvatee bhole tumape balihaaree jee jab lao tum hee laana jab lao tum hee laana dvaare mere baaraat jee o bholenaath jee o bholenaath jee o shambhoo naath jee o bholenaath jee o shambhoo naath jee praan mere basten hain tumamen tum bin meree nahin gati agni kund mein hoke bhasm tum huee thee mere lie satee shiv bin jaise shakti adhooree shakti bin shiv aadhen hai janmon tak na tootenge ye janam janam ke naaten hain tum hee meree sandhya ho gauree tum hee meree prabhaat jee vachan hai mera na chhodoonga kabhee tumhaara haath jee sada rahe hain sada rahenge gauree shankar saath jee he gora paarvatee he gora paarvatee jee bholenaath jee o shankaranaath jee o bholenaath jee o shambhoonaath jee o bholenaath jee o shankaranaath jee o mera bhola hai mere saath saath main jhoom jhoom ke naachoon mera bhola hai mere saath saath main jhoom jhoom ke naachoon main jhoom jhoom ke naachoon arre ghoom ghum ke naachoon mera bhola, ho mera bhola mera bhola hai mere saath saath main jhoom jhoom ke naachoon mera bhola hai mere saath saath main ghum ghum ke naachoon ho bholenaath jee ho shambhoo naath jee",,
111,Har Har Gange,Arijit Singh,"Karam jisey pukaare
Wo pahunche Ganga kinare
Na kar maili tu Ganga
Tann dhoye mann toh ganda

Palat ke phir na aani
Boli baat aur behta paani
Na kar maili tu Ganga
Tann dhoye mann toh ganda

Mann paavan ho Ganga mein doobe nahaaye
Mann Raavan jo lehron mein tune bahaaye
Jo chala gaya woh laut ke phir naa aaye
Tera karam hi hai jo sang tere hi jaaye

Mann paavan ho Ganga mein doobe nahaaye
Mann Raavan jo lehron mein tune bahaaye

Har har Gange, Har har Gange
Har har Gange Gange… (x4)

Jo paas tere wahi tera
Baaqi sab moh ke phera
Tu kyun samajh na paaya
Tann mitti hai mann maaya

Bhagwa chola tann pe jo tu odhe
Har chola toh jayega peeche chhode

Mann paavan ho Ganga mein doobe nahaaye
Mann Raavan jo lehron mein tune bahaaye

Har har Gange, Har har Gange
Har har Gange Gange… (x8)
",,
112,Tu Jaane Na,Pritam Chakraborty · Atif Aslam,"kaise bataen, kyoon tujhako chaahe yaara, bata na paen baaten dilon kee dekho jo baaqee aankhen tujhe samajhaen too jaane na, too jaane na too jaane na, too jaane na mil ke bhee ham na mile tumase na jaane kyoon meelon ke hain faasale tumase na jaane kyoon anajaane hain silasile tumase na jaane kyoon sapane hain palakon tale tumase na jaane kyoon kaise bataen, kyoon tujhako chaahe yaara, bata na paen baaten dilon kee dekho jo baaqee aankhen tujhe samajhaen too jaane na, too jaane na too jaane na, too jaane na nigaahon mein dekho meree jo hai bas gaya vo hai milata tumase hoo-ba-hoo o, jaane teree aankhen theen ya baaten theen vajah hue tum jo dil kee aarazoo tum paas hoke bhee, tum aas hoke bhee ehasaas hoke bhee apane nahin aise hain hamako gile tumase na jaane kyoon meelon ke hain faasale tumase na jaane kyoon too jaane na, too jaane na too jaane na, too jaane na ho, jaane na, jaane na, jaane na haan, too jaane na khayaalon mein laakhon baaten yoon to kah gaya bola kuchh na tere saamane o, hue na begaane bhee tum hoke aur ke dekho tum na mere hee bane afasos hota hai, dil bhee ye rota hai sapane sanjota hai, pagala hua soche ye, ""ham the mile tumase na jaane kyoon"" meelon ke hain faasale tumase na jaane kyoon anajaane hain silasile tumase na jaane kyoon sapane hain palakon tale tumase na jaane kyoon kaise bataen, kyoon tujhako chaahe yaara, bata na paen baaten dilon kee dekho jo baaqee aankhen tujhe samajhaen too jaane na, too jaane na too jaane na, too jaane na too jaane na, too jaane na too jaane na, too jaane na too jaane na, too jaane na",,
113,Mere Ghar Ram Aaye Hain,Jubin Nautiyal,"Meri chaukhat pe chal ke aaj
Chaaron dhaam aaye hain
Bajaao dhol swagat mein
Mere ghar Ram aaye hain

Katha Shabri ki jaise jud gayi
Meri kahani se
Na roko aaj, dhoney do charan
Aankhon ke paani se

Bahot khush hain mere aansu
Ke Prabhu ke kaam aaye hain
Bajaao dhol swagat mein
Mere ghar Ram aaye hain

Tumko paa ke kya paaya hai
Srishti ke kan-kan se poocho
Tumko khone ka dukh kya hai
Kaushalya ke mann se poocho

Dwaar mere yeh abhaage
Aaj inke bhag jaage
Badi lambi intezaari hui
Raghuvar tumhaari
Tab aayi hai sawaari

Sandese aaj khushiyon ke
Humaare naam aaye hain
Bajaao dhol swagat mein
Mere ghar Ram aaye hain

Darshan paa ke, hey avataari
Dhanya huye hain nain pujari
Jeevan-naiyya tumne taari
Mangal bhavan, amangal haari
(Mangal bhavan, amangal haari)

Nirdhan ka tum dhan ho, Raghav
Tum hi Ramayan ho, Raghav
Sab dukh harna, Avadh Bihari
Mangal bhavan, amangal haari
(Mangal bhavan, amangal haari)
(Mangal bhavan, amangal haari)

Charan ki dhool le loon main
Mere bhagwan aaye hain
Bajaao dhol swagat mein
Mere ghar Ram aaye hain",,
114,Aas Paas Khuda,Rahat Fateh Ali Khan · Vishal-Shekhar · Vishal Dadlani · Shekhar Ravjiani,"Dhundhla jaayein jo manzilein
Ik pal ko tu nazar jhuka
Jhuk jaayein sar jahan wahin
Milta hai rab ka raasta

Teri qismat tu badal de
Rakh himmat bas chal de
Tere saathi, mere kadmon ke hain nishaan

Tu na jaane aas paas hai khuda
Tu na jaane aas paas hai khuda
Tu na jaane aas paas hai khuda
Tu na jaane aas paas hai khuda
Tu na jaane aas paas hai khuda
Tu na jaane aas paas hai khuda

Khud pe daal tu nazar
Halaton se haarkar kahan chala re
Haath ki lakeer ko modta marodta hai honsla re

To khud tere khwabon ke rang mein
Tu apne jahan ko bhi rang de
Ke chalta hoon main tere sang mein
Ho shaam bhi to kya

Jab hoga andhera
Tab paayega dar mera
Us dar pe phir hogi teri subah

Tu na jaane aas paas hai khuda
Tu na jaane aas paas hai khuda
Tu na jaane aas paas hai khuda
Tu na jaane aas paas hai khuda

Mit jaate hain sabke nishaan
Bas ek wo mit'ta nahin haye
Maan le jo har mushqil ko marzi meri haaye

Ho humsafar na tera jab koyi
Tu ho jahan rahunga main wahin
Tujhse kabhi na ek pal bhi main juda

Tu na jaane aas paas hai khuda
Tu na jaane aas paas hai khuda
Tu na jaane aas paas hai khuda
Tu na jaane aas paas hai khuda

Tu na jaane aas paas hai khuda
Tu na jaane aas paas hai khuda
Tu na jaane aas paas hai khuda
Tu na jaane aas paas hai khuda
",,
115,Mujhe Raat Din Bas,Sonu Nigam,"Mmm Hmm Hmm
Hey Hey La La La
Mujhe Raat Din Bas Mujhe Chahati Ho
Mujhe Raat Din Bas Mujhe Chahati Ho
Kaho, Na Kaho Mujhko Sabh Kuch Pata Hai
Haan, Karoon Kya Mujhe
Tum Bataati Nahin Ho
Chupati Ho Mujhse Ye Tumhari Khataa Hai
Haan, Mujhe Raat Din
Bas Mujhe Chahati Ho...

Meri Beqarari Ko Had Se Badhana
Tumhe Khoob Aata Hai Baatein Bana Na
Nigahein Mila Ke Yoon Mera Chain Lena
Sataa Ke Mohabbat MEin Yoon Dard Dena
Mujhe Dekh Ke Aise Palkein Jhukana
Shararat Nahin Hai To Phir Aur Kya Hai
Haan, Mujhe Raat Din
Bas Mujhe Chahati Ho...

Tumhe Neend Aayegi Abh Na Mere Bin
Mujhe Hai Yakeen Aisa Aayega Ek Din
Khuli Teri Zulfoon Mein Soya Rahoonga
Tere Hi Khayaloon Mein Khoya Rahoonga
Kabhi Gaur Se Meri Aankhon Mein Dekho
Meri Jaan Tumhara Hi Chehra Chupa Hai
Haan, Mujhe Raat Din
Bas Mujhe Chahati Ho
Kaho, Na Kaho Mujhko Sabh Kuch Pata Hai
Haan, Karoon Kya Mujhe
Tum Bataati Nahin Ho
Chupati Ho Mujhse Ye Tumhari Khataa Hai
Haan, Mujhe Raat Din
Bas Mujhe Chahati Ho
Haan, Mujhe Raat Din
Bas Mujhe Chahati Ho
Mmm Hmm Hmm
Hey Hey La La La...",,
116,Is Kadar Pyar Hai Tumse,Sonu Nigam,"Iss kadar pyar hain, tumse ai hamsafar

Iss kadar pyar hain, tumse ai hamsafar
Abb toh jite hain ham, bas tumhe dekhkar
Tumharee har ada, tumharee har najar
Yeh kya kehne lagee,
tumhe hain kya khabar

Iss kadar pyar hain tumse ai hamsafar
Abb toh jite hain ham, bas tumhe dekhkar


Dil me hain betabiya, nind udne lagee
Tere khayalo se hee aankh judne lagee
Har pal tumko dekha maine,
kehtee hain meree najar
Tumharee har ada, tumharee har najar
Yeh kya kehne lagee,
tumhe hain kya khabar

Iss kadar pyar hain, tumse ae hamsafar
Abb toh jite hain ham, bas tumhe dekhkar

Sanso me basne lagee jabse tu o janeja
Apna sa lagne laga mujhko sara jaha
Mehka mehka lagta mujhko,
khushiyo se dil kaa nagar

Tumharee har ada, tumharee har najar
Yeh kya kehne lagee,
tumhe hain kya khabar
Iss kadar pyar hain, tumse ae hamsafar
Abb toh jite hain ham, bas tumhe dekhkar
Tumharee har ada, tumharee har najar
Yeh kya kehne lagee,

tumhe hain kya khabar",,
117,Hoshwalon Ko Khabar Kya,Jagjit Singh,"hosh vaalon ko khabar kya, bekhudee kya cheez hai hosh vaalon ko khabar kya, bekhudee kya cheez hai ishq keeje, phir samajhie... ishq keeje, phir samajhie zindagee kya cheez hai hosh vaalon ko khabar kya, bekhudee kya cheez hai unase nazaren kya mileen, roshan fizaen ho gaeen unase nazaren kya mileen, roshan fizaen ho gaeen aaj jaana pyaar kee jaadoogaree kya cheez hai aaj jaana pyaar kee jaadoogaree kya cheez hai ishq keeje, phir samajhie... ishq keeje, phir samajhie zindagee kya cheez hai khulatee zulfon ne sikhaee mausamon ko shaayaree khulatee zulfon ne sikhaee mausamon ko shaayaree jhukatee aankhon ne bataaya may-kashee kya cheez hai jhukatee aankhon ne bataaya may-kashee kya cheez hai ishq keeje, phir samajhie... ishq keeje, phir samajhie zindagee kya cheez hai ham labon se kah na pae unase haal-e-dil kabhee ham labon se kah na pae unase haal-e-dil kabhee aur vo samajhe nahin ye khaamoshee kya cheez hai aur vo samajhe nahin ye khaamoshee kya cheez hai ishq keeje, phir samajhie... ishq keeje, phir samajhie zindagee kya cheez hai",,
118,Mera Chand Mujhe Aaya Hai Nazar,Kumar Sanu,"Hmm*hmm~hmhmhmm~hmmm
Hey~hey~hey
Hmhmhm~~hmm~hmmm

Mera chand mujhe aaya hai nazar
Mera chand mujhe aaya hai nazar
Aye raat zara tham tham ke gujar
Aye raat zara tham tham ke gujar
Chhaya hai nasha meri aankho par
Chhaya hai nasha meri aankho par


Aye raat zara tham tham ke gujar
Aye raat zara tham tham ke gujar

Mera chand mujhe aaya hai nazar


Mere dil mein hai armaan kayi kayi
Meri chahat hai abhi nayi nayi
Mere dil mein hai armaan kayi kayi
Meri chahat hai abhi, nayi nayi
Reh jaye na pyasa, pyar mera
Meri baahon mein bhar de yaar mera


Itna sa karam tu kar mujh par
Itna sa karam tu kar mujh par
Aye raat zara tham tham ke gujar
Aye raat zara tham tham ke gujar

Mera chand mujhe aaya hai nazar

Abhi labon ko labon ne chuwa nahi
Armaan koi pura hua nahi
Abhi labo ko labo ne chhuwa nahi
Armaan koi pura hua nahi
Abhi aash ka gulshan khilna hai
Abhi do jismo ko milna hai


Dekhuga abhi main woh manjar
Dekhuga abhi main woh manjar
Aye raat zara tham tham ke gujar
Aye raat zara tham tham ke gujar
Mera chand mujhe aaya hai nazar

Mera chand mujhe aaya hai nazar
Aye raat zara tham tham ke gujar

Aye raat zara tham tham ke gujar
Mera chand mujhe aaya hai nazar


Aaya hai nazar,

Aaya hai nazar.",,
119,Waada Raha Sanam,Alka Y & Abhijeet,ha haaha ha haaha ha haaha ha haaha haaha ha haaha ha haaha ha vaada raha sanam honge juda na ham chaahe na chaahe jamaana hamaaree chaahaton ka mit na sakega phasaana hamaaree chaahaton ka mit na sakega phasaana vaada raha sanam honge juda na ham chaahe na chaahe jamaana hamaaree chaahaton ka mit na sakega phasaana hamaaree chaahaton ka mit na sakega phasaana in vaadiyon mein yoon hee milate rahenge dil mein vafa ke diye jalate rahenge in vaadiyon mein yoon hee milate rahenge dil mein vafa ke diye jalate rahenge ye maanga hai duaon mein kamee na ho vafaon mein rahe teree nigaahon mein likho na ye fizaon mein o saajana hamaaree chaahaton ka mit na sakega phasaana hamaaree chaahaton ka mit na sakega phasaana kaisee udaasee tere chehare pe chhaayee kya baat hai jo teree aankh bhar aaee kaisee udaasee tere chehare pe chhaayee kya baat hai jo teree aankh bhar aaee dekho to kya nazaare hain tumhaaree tarah pyaare hain hanso na mere lie tum sabhee to ye tumhaare hain o jaane jaan hamaaree chaahaton ka mit na sakega phasaana hamaaree chaahaton ka mit na sakega phasaana vaada raha sanam honge juda na ham chaahe na chaahe jamaana hamaaree chaahaton ka mit na sakega phasaana hamaaree chaahaton ka mit na sakega phasaana,,
120,Madhosh Dil Ki Dhadkan,Lata Mangeshkar,"madahosh dil kee dhadakan, chup see tanahaee madahosh dil kee dhadakan, chup see tanahaee chhup gaya chaand kyoon? kya teree zulf laharaee? madahosh dil kee dhadakan, chup see tanahaee madahosh dil kee dhadakan, chup see ye tanahaee phir teree yaad ne dil mein lee, yaar, angadaee madahosh dil kee dhadakan, chup see ye tanahaee ye rat jage lambee raaton ke, dil na lage, kya karoon? ye silasile dil kee baaton ke, jaadoo chale, kya karoon? bikhara zulfen, so jaoon, dil chaahe kaheen kho jaoon madahosh dil kee dhadakan, chup see tanahaee ye teree aashiqee kar na de meree rusavaee madahosh dil kee dhadakan, chup see ye tanahaee kahana tha jo honthon se mainne, aankhon se vo kah liya dil mein tere rahana hai mujhako, is duniya mein rah liya aa, lag ja too is dil se, ki milate hain dil mushqil se madahosh dil kee dhadakan, chup see ye tanahaee madahosh dil kee dhadakan, chup see ye tanahaee dil liya, jaan bhee lega ye pyaar harajaee madahosh dil kee dhadakan, chup see ye tanahaee chhup gaya chaand kyoon? kya teree zulf laharaee? madahosh dil kee dhadakan, chup see ye tanahaee chup see ye tanahaee chup see ye tanahaee",,
121,Saawan Barse,"Hariharan, Sadhana Sargam","Sawan barse tarse dil kyon naa nikale ghar se dil Barkha me bhee dil pyasa hai, yeh pyar nahee toh kya hai
Sawan barse tarse dil kyon naa nikale ghar se dil Barkha me bhee dil pyasa hai, yeh pyar nahee toh kya hai
Dekho kaise bekarar hain bhare bajar me Yar yek yar key intjar me
Yek mohabbat kaa divana dhundhata sa fire
Koyee chahat kaa najarana dilruba key liye
Chhamachham chale pagal pawan aaye maja bheege balam Bhige balam fisle kadam barakha bahar me
Ek hasina idhar dekho kaisee bechain hai Raste par lage kaise usake do nain hai Sach puchhiye toh mere yar,
dono key dil beikhtiyar
Beikhtiyar hain pahalee bar
pahalee bahar me
Sawan barse tarse dil
kyon naa nikale ghar se dil
Barkha me bhee dil pyasa hai,
yeh pyar nahee toh kya hai
dekho kaise bekrar hai bhare bazaar main
yaar ek yaar k intizar main
Sawan barse tarse dil
kyon naa nikale ghar se dil
Barkha me bhee dil pyasa hai,
yeh pyar nahee toh kya hai
dekho kaise bekrar hai bhare bazaar main
yaar ek yaar k intizar main",,
122,Ab Mujhe Raat Din,Sonu Nigam,"hmm hmm hmm hmm
Hey hey hey hey hey hey


Ab mujhe raat din tumhara hi khayal hain
Ab mujhe raat din tumhara hi khayal hain
Kya kahu pyaar mein
deewano jaisa haal hain
Deewano jaisa haal hain
tumhara hi khayal hain


Ho ho aa ha ha ha la la la la la la
Ab mujhe raat din tumhara hi khayal hain
Kya kahu pyaar mein
deewano jaisa haal hain

Tum ko dekhe beena chain milta nahi
Dil pe ab to koi zor chalta nahi
Jaadu hain kaisa dil ki lagi mein
Dub gaya hu is bekhudi mein
Ho ho aa ha ha ha la la la la la la
Ab mujhe raat din tumhara hi khayal hain
Kya kahu pyaar mein
deewano jaisa haal hain

Har pal dhunde nazar tum ko hi jaaneman
Had se badhne laga mera deewanapan
Dil mein basa lu apna bana lu
Ya phir nazar mein tumko chupa lu

Ho ho aa ha ha ha la la la la la la

Ab mujhe raat din tumhara hi khayal hain
Kya kahu pyaar mein
deewano jaisa haal hain
Deewano jaisa haal hain
tumhara hi khayal hain
Ab mujhe raat din tumhara hi khayal hain
Kya kahu pyaar mein
deewano jaisa haal hain",,
123,Koi Fariyaad,Jagjit Singh,koee fariyaad tere dil mein dabee ho jaise koee fariyaad tere dil mein dabee ho jaise toone aankhon se koee baat kahee ho jaise jaagate jaagate ik umr katee ho jaise jaagate jaagate ik umr katee ho jaise jaan baakee hai magar saans rookee ho jaise har mulaaqaat pe mahasoos yahee hota hai har mulaaqaat pe mahasoos yahee hota hai mujhase kuchh teree nazar poochh rahee ho jaise raah chalate hue aksar ye gumaan hota hai raah chalate hue aksar ye gumaan hota hai vo nazar chhup ke mujhe dekh rahee ho jaise vo nazar chhup ke mujhe dekh rahee ho jaise ek lamhe mein simat aaya hai sadiyon ka safar ek lamhe mein simat aaya hai sadiyon ka safar zindagee tez bahut tez chalee ho jaise zindagee tez bahut tez chalee ho jaise is tarah paharon tujhe sochata rahata hoon main is tarah paharon tujhe sochata rahata hoon main meree har saans tere naam likhee ho jaise meree har saans tere naam likhee ho jaise koee fariyaad tere dil mein dabee ho jaise toone aankhon se koee baat kahee ho jaise jaagate jaagate ik umr katee ho jaise jaan baakee hai magar saans rookee ho jaise,,
124,Ghar Se Nikalte Hi,"Jugal Hansraj, Mayuri Kango","Ghar se nikalte hi kuch door chalte hi
Raste main hai uska ghar
Kal subah dekha to baal banati vo
Khidki main aayi nazar
Ghar se nikalte hi kuch door chalte hi
Raste main hai uska ghar
Kal subah dekha to baal banati vo
Khidki main aayi nazar
Ghar se nikalte hi

Masoom chegra neechi nigahain
Bholi se ladki bholi aadayan
Na apsara hai na vo pari hai
Lekin yeh uski jadoogari hai
Deewana kar de vo ik rang bhar de vo
Sharma ke dekhe jidhar
Ghar se nikalte hi kuch door chalte hi
Raste main hai uska ghar
Karta hoon uske ghar ke main phere
Hansne lage hain ab dost mere
Sach kah raha hoon uski ki kasam hai
Main phir bhi khush hoon bus ek gam hai
Jisse pyaar karta hoon main jispe marta hoon
Usko nahi hai khabar
Ghar se nikalte hi kuch door chalte hi
Raste main hai uska ghar

Ladki hai jaise koi paheli
Kal jo mili mujhko uski saheli
Maine kaha usko jake yeh kahna
Achha nahi hai yoon door rahna
Kal shaam nikle vo ghar se tahelne ko
Milna jo chahe agar
Ghar se nikalte hi kuch door chalte hi
Raste main hai uska ghar
Kal subah dekha to baal banati vo
Khidki main aayi nazar.",,
